"","여행시나이대_만","성별.x","FIT등급","PKG이용등급","고객번호.1"
"1","44to48","M","6_무등급","4_일반",76815499
"2","59to63","M","6_무등급","3_우수",77140729
"3","39to43","F","6_무등급","3_우수",77216603
"4","54to58","M","6_무등급","5_1회성",77262362
"5","54to58","F","6_무등급","5_1회성",77262363
"6","44to48","F","4_일반","5_1회성",77326343
"7","44to48","F","4_일반","5_1회성",77326343
"8","44to48","F","6_무등급","5_1회성",77383601
"9","29to33","M","6_무등급","5_1회성",77423959
"10","49to53","M","5_1회성","6_무등급",77520611
"11","24to28","M","6_무등급","4_일반",77531988
"12","49to53","F","5_1회성","6_무등급",77536447
"13","19to23","M","5_1회성","6_무등급",77536525
"14","13to18","M","5_1회성","6_무등급",77536526
"15","54to58","M","5_1회성","2_VIP",76976755
"16","49to53","F","6_무등급","5_1회성",77210612
"17","54to58","F","5_1회성","3_우수",77321396
"18","54to58","M","6_무등급","3_우수",77321397
"19","44to48","M","6_무등급","5_1회성",77334473
"20","39to43","F","6_무등급","5_1회성",77334555
"21","44to48","F","3_우수","5_1회성",77526227
"22","64to68","F","6_무등급","5_1회성",77586152
"23","49to53","F","5_1회성","5_1회성",77646218
"24","39to43","F","6_무등급","6_무등급",76899034
"25","44to48","F","6_무등급","4_일반",76955686
"26","59to63","M","6_무등급","3_우수",77157603
"27","54to58","M","6_무등급","5_1회성",77162553
"28","49to53","F","6_무등급","5_1회성",77162554
"29","39to43","F","6_무등급","5_1회성",77342284
"30","54to58","M","6_무등급","5_1회성",77381555
"31","64to68","F","6_무등급","5_1회성",77564419
"32","49to53","M","6_무등급","4_일반",77584278
"33","44to48","M","4_일반","4_일반",77647596
"34","49to53","M","6_무등급","5_1회성",76812499
"35","59to63","M","6_무등급","5_1회성",76920006
"36","44to48","F","5_1회성","5_1회성",77050387
"37","49to53","M","5_1회성","6_무등급",77093912
"38","44to48","M","6_무등급","4_일반",77098963
"39","44to48","F","6_무등급","4_일반",77099043
"40","59to63","M","6_무등급","6_무등급",77348428
"41","54to58","M","5_1회성","3_우수",77405936
"42","74to78","M","6_무등급","4_일반",77482894
"43","69to73","F","6_무등급","4_일반",77482895
"44","49to53","M","6_무등급","5_1회성",77520132
"45","44to48","F","6_무등급","5_1회성",77520217
"46","13to18","M","6_무등급","5_1회성",77520219
"47","64to68","M","5_1회성","6_무등급",76861436
"48","54to58","F","6_무등급","5_1회성",76886428
